,col
0,enhanced_altitude
1,dist_diff
2,distance
3,temp
4,humidity
5,rain
6,snow
7,wind_speed
8,slope_ascent
9,slope_descent
10,slope_steep
11,hr_zone
12,enhanced_altitude_delayed
13,peak
14,slope_steep_window_1_mean
15,slope_ascent_window_1_mean
16,slope_descent_window_1_mean
17,slope_steep_window_2_mean
18,slope_ascent_window_2_mean
19,slope_descent_window_2_mean
20,slope_steep_window_3_mean
21,slope_ascent_window_3_mean
22,slope_descent_window_3_mean
23,slope_steep_window_4_mean
24,slope_ascent_window_4_mean
25,slope_descent_window_4_mean
26,slope_steep_window_5_mean
27,slope_ascent_window_5_mean
28,slope_descent_window_5_mean
29,slope_steep_window_6_mean
30,slope_ascent_window_6_mean
31,slope_descent_window_6_mean
32,slope_steep_window_7_mean
33,slope_ascent_window_7_mean
34,slope_descent_window_7_mean
35,slope_steep_window_8_mean
36,slope_ascent_window_8_mean
37,slope_descent_window_8_mean
38,slope_steep_window_9_mean
39,slope_ascent_window_9_mean
40,slope_descent_window_9_mean
41,slope_steep_window_10_mean
42,slope_ascent_window_10_mean
43,slope_descent_window_10_mean
44,slope_steep_window_11_mean
45,slope_ascent_window_11_mean
46,slope_descent_window_11_mean
47,slope_steep_window_12_mean
48,slope_ascent_window_12_mean
49,slope_descent_window_12_mean
50,slope_steep_window_13_mean
51,slope_ascent_window_13_mean
52,slope_descent_window_13_mean
53,slope_steep_window_14_mean
54,slope_ascent_window_14_mean
55,slope_descent_window_14_mean
56,date_month
57,date_week
58,date_hour
59,date_minute
60,date_second
61,cadence
62,cadence_window_1_mean
63,cadence_window_2_mean
64,cadence_window_3_mean
65,cadence_window_4_mean
66,cadence_window_5_mean
67,cadence_window_6_mean
68,cadence_window_7_mean
69,cadence_window_8_mean
70,cadence_window_9_mean
71,cadence_window_10_mean
72,cadence_window_11_mean
73,cadence_window_12_mean
74,cadence_window_13_mean
75,cadence_window_14_mean
76,moved_cadence_10
77,moved_cadence_20
78,moved_cadence_30
79,moved_cadence_40
80,moved_cadence_50
81,moved_cadence_60
82,moved_cadence_70
83,moved_cadence_80
84,moved_cadence_90
85,moved_cadence_100
86,heart_rate
87,sum_heart_rate_cadence
88,mean_heart_rate_cadence
89,min_heart_rate_cadence
90,max_heart_rate_cadence
91,heart_rate_window_1_mean
92,heart_rate_window_2_mean
93,heart_rate_window_3_mean
94,heart_rate_window_4_mean
95,heart_rate_window_5_mean
96,heart_rate_window_6_mean
97,heart_rate_window_7_mean
98,heart_rate_window_8_mean
99,heart_rate_window_9_mean
100,heart_rate_window_10_mean
101,heart_rate_window_11_mean
102,moved_heart_rate_10
103,moved_heart_rate_20
104,moved_heart_rate_30
105,moved_heart_rate_40
106,moved_heart_rate_50
107,moved_heart_rate_60
108,moved_heart_rate_70
109,moved_heart_rate_80
110,moved_heart_rate_90
111,moved_heart_rate_100
